iter	Passed	Remaining
0	1	145
1	2	123
2	3	116
3	4	105
4	5	102
5	6	99
6	7	98
7	8	96
8	9	96
9	10	95
10	11	94
11	12	93
12	14	93
13	15	93
14	16	92
15	17	91
16	18	91
17	19	89
18	20	88
19	21	87
20	23	86
21	24	86
22	25	85
23	26	84
24	27	83
25	28	81
26	29	80
27	30	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	41	70
37	42	69
38	44	68
39	45	67
40	46	66
41	47	65
42	48	64
43	50	63
44	51	62
45	52	62
46	54	61
47	55	60
48	56	59
49	58	58
50	59	57
51	60	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	68	49
58	69	48
59	70	47
60	72	46
61	73	45
62	74	43
63	76	42
64	77	41
65	78	40
66	79	39
67	81	38
68	82	37
69	84	36
70	85	34
71	86	33
72	88	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	96	25
79	97	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
